,videoId,title,description,publishedAt,commentCount,dislikeCount,favoriteCount,likeCount,viewCount
0,fOflUIQbgvU,『同窓会でめっちゃ老けてる奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-06-14T09:00:21Z,644,16,0,1716,30686
1,UGtCzcr1u4k,コメント読む奴〜2020年5月編〜,このチャンネルはジャルジャルの公式チャンネルです！ コメントを読む奴は今後、毎月発表して行きます！ 更新は撮影の関係で固定の曜日ではあ...,2020-06-13T09:00:08Z,454,14,0,983,33123
2,7nfj2_RcYRU,『ゲストの内(うち)って奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-06-13T09:00:02Z,482,27,0,1166,45144
3,iguWxnleHCM,『リモート授業に慣れてないから友達連れてくる先生な奴』,特別出演：ネタサロン「ジャルジャルに興味ある奴」会員 https://www.jarujaru-kyomi.com/ 動画をご覧の皆様へ ※当たり前ですが、このコントはフィクシ...,2020-06-12T11:00:23Z,472,27,0,1674,104130
4,OB-Iu8SAtbQ,『おっさんと若者の反応の違いを感じる奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-06-12T09:00:10Z,386,18,0,1372,54074
5,1m31Q2zZ3fA,『新居で屁をこかれて泣く奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-06-11T09:00:00Z,1105,59,0,3180,150896
6,RCqtqqHykkk,『仕事中めっちゃ眠い奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-06-10T09:00:20Z,711,27,0,1994,82829
7,-_mBJxHdWYY,『髪染めた南って奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-06-09T09:00:00Z,1241,140,0,4133,161742
8,UQvhupSZWWY,『シュールなネタしそうな奴  パート２』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ 『シュールなネタしそうな奴 パート１』はこ...,2020-06-08T09:00:11Z,1288,43,0,2542,84434
9,T-SrsBagVok,『チャラ男番長のネタを見る奴 パート46』ジャルジャルのネタのタネ【JARUJARUTOWER】,このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ ジャルジャルがネタ帳に書き留めたネタになる...,2020-06-07T09:00:10Z,1196,4843,0,816,59386
